                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.0937,                0.70382,                 1.3186,                0.96062,                0.93946,                0.96969,                0.61925,                 1.2525,                0.56769,                 1.5223,             0.00063676,             0.00063676,             0.00063676
                     86,                 1.0856,                0.71867,                 1.3223,                0.94504,                0.94279,                0.97039,                0.62516,                  1.235,                0.56229,                  1.513,             0.00062733,             0.00062733,             0.00062733
                     87,                 1.0719,                0.69535,                 1.3215,                0.94829,                0.93401,                0.96907,                0.62273,                 1.2395,                 0.5597,                 1.5079,              0.0006179,              0.0006179,              0.0006179
                     88,                 1.0603,                0.67441,                 1.2984,                0.95213,                0.94272,                0.96912,                0.62969,                 1.2273,                0.55811,                 1.4981,             0.00060847,             0.00060847,             0.00060847
                     89,                 1.0601,                0.68545,                 1.3106,                  0.957,                0.93204,                0.96818,                0.62377,                  1.233,                0.55991,                  1.503,             0.00059904,             0.00059904,             0.00059904
                     90,                 1.0547,                0.68222,                 1.2988,                0.95097,                0.93799,                0.96614,                0.63289,                 1.1993,                0.54478,                 1.4758,             0.00058961,             0.00058961,             0.00058961
                     91,                 1.0465,                0.68459,                 1.2856,                0.95912,                0.93626,                0.97038,                  0.637,                 1.2011,                0.53763,                  1.479,             0.00058017,             0.00058017,             0.00058017
                     92,                 1.0332,                0.66864,                 1.2827,                 0.9654,                0.93385,                0.97341,                0.62699,                 1.2151,                0.54686,                 1.4806,             0.00057074,             0.00057074,             0.00057074
                     93,                 1.0448,                0.67271,                 1.2897,                0.96079,                0.94869,                0.97416,                0.63252,                 1.2074,                0.53967,                 1.4839,             0.00056131,             0.00056131,             0.00056131
                     94,                 1.0317,                 0.6611,                 1.2853,                0.94789,                 0.9386,                 0.9681,                0.62776,                 1.2417,                0.55007,                 1.5107,             0.00055188,             0.00055188,             0.00055188
                     95,                 1.0402,                0.65905,                 1.2818,                 0.9586,                0.93511,                0.96731,                0.63496,                 1.2123,                0.54011,                 1.4756,             0.00054245,             0.00054245,             0.00054245
                     96,                 1.0455,                0.66746,                 1.2897,                0.96124,                0.94362,                0.97507,                0.64571,                 1.1683,                0.52973,                 1.4461,             0.00053302,             0.00053302,             0.00053302
                     97,                 1.0263,                0.65768,                 1.2769,                0.95439,                0.94928,                0.97288,                0.64428,                 1.1797,                0.53678,                 1.4546,             0.00052359,             0.00052359,             0.00052359
                     98,                 1.0203,                0.67237,                 1.2743,                  0.964,                0.94688,                0.97497,                0.63951,                 1.1935,                0.52738,                 1.4761,             0.00051415,             0.00051415,             0.00051415
                     99,                 1.0124,                0.65896,                 1.2733,                0.95315,                 0.9374,                0.96827,                0.63654,                  1.197,                0.54046,                 1.4749,             0.00050472,             0.00050472,             0.00050472
                    100,                 1.0171,                0.65593,                  1.267,                0.95829,                0.93615,                0.96762,                0.63828,                 1.1789,                0.52619,                 1.4612,             0.00049529,             0.00049529,             0.00049529
                    101,                 1.0129,                0.64421,                  1.264,                0.95403,                0.94547,                0.97167,                0.64936,                 1.1707,                0.52258,                  1.449,             0.00048586,             0.00048586,             0.00048586
                    102,                 1.0085,                0.64436,                 1.2658,                 0.9488,                0.94215,                 0.9705,                0.65143,                 1.1582,                0.52033,                 1.4472,             0.00047643,             0.00047643,             0.00047643
                    103,                0.98908,                 0.6458,                 1.2534,                0.95871,                0.93717,                0.97655,                0.65086,                 1.1601,                0.52342,                 1.4494,               0.000467,               0.000467,               0.000467
                    104,                0.99477,                0.64503,                 1.2569,                0.95244,                0.94177,                0.96776,                 0.6459,                 1.1793,                0.52343,                 1.4574,             0.00045757,             0.00045757,             0.00045757
                    105,                0.97826,                0.62498,                 1.2449,                0.96227,                0.93412,                  0.973,                0.65247,                   1.15,                0.51688,                  1.431,             0.00044813,             0.00044813,             0.00044813
                    106,                0.99036,                0.63397,                 1.2536,                0.96467,                0.94712,                0.97407,                0.65527,                 1.1433,                0.51848,                 1.4266,              0.0004387,              0.0004387,              0.0004387
                    107,                 1.0018,                 0.6339,                 1.2535,                0.95826,                0.94859,                0.97333,                0.65724,                 1.1445,                0.51161,                 1.4272,             0.00042927,             0.00042927,             0.00042927
                    108,                0.98577,                0.63001,                 1.2495,                0.95784,                0.94533,                0.97442,                0.66566,                 1.1275,                0.51519,                  1.415,             0.00041984,             0.00041984,             0.00041984
                    109,                0.98037,                0.62817,                 1.2471,                0.96743,                0.94593,                0.97526,                0.65328,                 1.1507,                0.50824,                 1.4247,             0.00041041,             0.00041041,             0.00041041
                    110,                0.98845,                0.62908,                 1.2472,                0.96503,                0.94129,                0.97473,                0.65118,                 1.1563,                0.50985,                 1.4349,             0.00040098,             0.00040098,             0.00040098
                    111,                0.96661,                0.62071,                 1.2291,                0.97252,                0.94336,                0.97621,                0.66636,                 1.1369,                0.49897,                 1.4237,             0.00039155,             0.00039155,             0.00039155
                    112,                0.97381,                0.62763,                 1.2347,                0.96587,                 0.9436,                0.97566,                0.66597,                 1.1257,                0.49521,                 1.4157,             0.00038211,             0.00038211,             0.00038211
                    113,                0.96584,                0.62065,                 1.2337,                0.96791,                0.93806,                0.97381,                0.66371,                 1.1343,                0.50072,                 1.4229,             0.00037268,             0.00037268,             0.00037268
                    114,                0.96428,                0.62318,                 1.2347,                0.96926,                0.94013,                0.97514,                 0.6654,                 1.1353,                 0.4994,                 1.4135,             0.00036325,             0.00036325,             0.00036325
                    115,                0.95248,                0.60447,                 1.2243,                 0.9681,                0.94888,                 0.9764,                 0.6641,                 1.1232,                 0.4938,                 1.4099,             0.00035382,             0.00035382,             0.00035382
                    116,                0.95564,                0.60403,                 1.2274,                0.96861,                0.94734,                0.97655,                0.67052,                  1.113,                 0.4854,                    1.4,             0.00034439,             0.00034439,             0.00034439
                    117,                0.93841,                0.59826,                 1.2183,                0.96852,                 0.9458,                0.97747,                0.67281,                 1.1094,                0.48705,                 1.3947,             0.00033496,             0.00033496,             0.00033496
                    118,                0.94828,                 0.6103,                 1.2266,                0.96298,                 0.9427,                0.97422,                0.67496,                 1.0847,                0.48133,                 1.3818,             0.00032553,             0.00032553,             0.00032553
                    119,                0.93454,                0.60231,                 1.2163,                0.96538,                0.94688,                0.97345,                0.67531,                 1.0926,                0.48019,                 1.3875,             0.00031609,             0.00031609,             0.00031609
                    120,                0.93223,                0.60286,                 1.2152,                0.96677,                0.94719,                0.97287,                0.67286,                 1.0973,                0.48202,                 1.3912,             0.00030666,             0.00030666,             0.00030666
                    121,                0.92836,                0.59628,                 1.2106,                0.96444,                0.94552,                0.97213,                0.66771,                 1.1017,                0.48161,                  1.395,             0.00029723,             0.00029723,             0.00029723
                    122,                0.92421,                0.59549,                 1.2051,                0.96301,                0.95137,                0.97276,                0.67547,                 1.0853,                0.47233,                 1.3853,              0.0002878,              0.0002878,              0.0002878
                    123,                0.93178,                0.59869,                 1.2141,                0.97049,                0.94606,                0.97672,                0.67639,                 1.0878,                0.48228,                  1.382,             0.00027837,             0.00027837,             0.00027837
                    124,                0.90568,                0.58034,                 1.1984,                0.96966,                0.94518,                0.97321,                0.67426,                 1.0948,                0.47983,                 1.3827,             0.00026894,             0.00026894,             0.00026894
                    125,                0.91356,                0.58461,                 1.2104,                0.97335,                0.94779,                0.97991,                0.68274,                 1.0785,                0.48111,                 1.3825,             0.00025951,             0.00025951,             0.00025951
                    126,                0.90942,                0.59078,                 1.2072,                 0.9718,                0.95102,                 0.9802,                0.68465,                 1.0674,                0.47263,                 1.3738,             0.00025007,             0.00025007,             0.00025007
                    127,                0.91188,                0.58408,                 1.2053,                0.96825,                0.94673,                0.97566,                0.68059,                 1.0902,                0.47787,                 1.3878,             0.00024064,             0.00024064,             0.00024064
                    128,                0.90799,                0.59226,                 1.2002,                0.96427,                0.94967,                0.97578,                0.68836,                 1.0689,                0.47011,                 1.3741,             0.00023121,             0.00023121,             0.00023121
                    129,                0.90529,                0.57792,                 1.1936,                0.96379,                0.95762,                0.97584,                0.67805,                 1.0974,                0.47542,                 1.3935,             0.00022178,             0.00022178,             0.00022178
                    130,                0.89895,                 0.5711,                 1.1907,                0.96474,                0.95465,                0.97348,                0.67975,                 1.0827,                0.47042,                 1.3774,             0.00021235,             0.00021235,             0.00021235
                    131,                0.88921,                0.57677,                 1.1943,                0.96519,                0.94914,                0.97773,                0.68316,                 1.0709,                0.47313,                 1.3698,             0.00020292,             0.00020292,             0.00020292
                    132,                0.88858,                0.56643,                 1.1882,                0.97056,                0.94804,                0.97588,                0.68824,                 1.0633,                0.46699,                 1.3673,             0.00019349,             0.00019349,             0.00019349
                    133,                0.88122,                0.57027,                 1.1822,                0.96995,                0.94977,                0.97654,                0.68487,                 1.0721,                 0.4721,                 1.3729,             0.00018406,             0.00018406,             0.00018406
                    134,                0.88369,                0.56859,                 1.1997,                0.96767,                0.95563,                 0.9765,                 0.6906,                  1.051,                0.46412,                 1.3565,             0.00017462,             0.00017462,             0.00017462
                    135,                0.87024,                0.56177,                 1.1829,                0.97098,                0.95391,                0.97951,                0.68968,                 1.0553,                0.46772,                 1.3561,             0.00016519,             0.00016519,             0.00016519
                    136,                0.87505,                0.55971,                 1.1752,                0.96383,                0.95493,                0.97112,                0.68489,                 1.0619,                0.47057,                 1.3616,             0.00015576,             0.00015576,             0.00015576
                    137,                0.88025,                0.56608,                 1.1792,                0.97484,                0.94869,                0.97488,                0.69326,                 1.0428,                0.46338,                 1.3505,             0.00014633,             0.00014633,             0.00014633
                    138,                0.86071,                0.55389,                 1.1694,                0.97156,                0.94831,                0.97581,                 0.6931,                 1.0516,                0.46111,                 1.3571,              0.0001369,              0.0001369,              0.0001369
                    139,                0.86211,                 0.5522,                 1.1777,                0.97542,                0.94625,                0.97561,                 0.6896,                 1.0504,                0.46353,                  1.352,             0.00012747,             0.00012747,             0.00012747
                    140,                0.85973,                0.55053,                 1.1707,                0.96826,                0.95169,                0.97449,                0.68955,                 1.0474,                0.46129,                 1.3554,             0.00011804,             0.00011804,             0.00011804
                    141,                0.81613,                0.43039,                 1.1655,                0.95977,                0.95542,                0.97272,                0.67478,                  1.068,                0.46852,                 1.3772,              0.0001086,              0.0001086,              0.0001086
                    142,                 0.8046,                0.42053,                 1.1599,                0.95885,                0.95759,                0.97411,                0.67947,                 1.0572,                  0.465,                 1.3658,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    143,                0.78601,                0.40561,                 1.1585,                0.96364,                0.95268,                0.97612,                0.68489,                 1.0427,                0.46114,                 1.3551,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    144,                0.78108,                0.40503,                 1.1484,                 0.9675,                0.95303,                0.97505,                0.68634,                 1.0384,                0.46083,                 1.3483,              8.031e-05,              8.031e-05,              8.031e-05
                    145,                0.77752,                0.40529,                 1.1402,                0.97301,                0.94901,                0.97492,                0.68862,                 1.0366,                0.45794,                 1.3505,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    146,                0.77273,                 0.4048,                 1.1391,                0.96698,                0.95381,                0.97473,                0.68872,                 1.0425,                0.45832,                 1.3525,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    147,                 0.7726,                0.39874,                  1.129,                0.96942,                0.95129,                0.97338,                0.68693,                 1.0405,                0.45806,                 1.3538,             5.2016e-05,             5.2016e-05,             5.2016e-05
                    148,                0.76624,                0.40097,                 1.1304,                0.96878,                0.94908,                0.97264,                0.68817,                 1.0415,                0.45792,                 1.3546,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    149,                0.75185,                0.39401,                 1.1191,                0.97247,                0.94751,                0.97426,                0.69066,                 1.0321,                 0.4554,                 1.3485,             3.3153e-05,             3.3153e-05,             3.3153e-05
